split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,vanilla,4752262.0,203.00856018066406,323648468549632.0,0.0
eval,context_conditioned,6002515.0,226.43162536621094,323648468549632.0,0.0
eval,neighbor_weighted_mean,2.9681238889952343e+18,15048198.969743092,428590343951039.9,-32.424647603520135
eval,neighbor_unweighted_mean,3.222799972650975e+18,17962406.0,581887403753472.0,-79.78994750976562
eval,pred_plus_weighted_e,2.968123890787717e+18,15048128.99470244,428590343943466.56,-32.424647601180155
eval,mix_0_weighted,4752265.557714152,203.0193884793444,323648466434195.25,6.536217395002425e-07
eval,mix_1_learned,4763048.007859534,204.20040852904515,323648466434195.25,6.536217395002425e-07
eval,mix_2_full_horizon,1.2243669713158144e+16,325870.28125,323891872399360.0,-0.07520624250173569
eval,mix_0_weighted_eval_fit,4752261.827262578,203.00857360292866,323648466434195.25,6.536217395002425e-07
eval,mix_1_learned_eval_fit,4681241.957602513,203.87739340879085,327508635235661.1,-1.1927035228461655
eval,mix_2_full_horizon_eval_fit,3738855.5,217.7205352783203,860177527996416.0,-165.77525329589844
