split,date_index,datetime,user_idx,user_name,mse,mae,nmse
eval,7008,2006-10-20 00:00:00,0,0,534.2699584960938,12.99409294128418,0.06409566104412079
eval,7008,2006-10-20 00:00:00,1,1,379.9277648925781,10.372718811035156,0.16404858231544495
eval,7008,2006-10-20 00:00:00,2,2,499.6590576171875,10.072023391723633,0.26522183418273926
eval,7008,2006-10-20 00:00:00,3,3,356.8928527832031,10.352355003356934,0.16782478988170624
eval,7008,2006-10-20 00:00:00,4,4,2290.38671875,27.483800888061523,0.3733714520931244
eval,7008,2006-10-20 00:00:00,5,5,3067.131103515625,26.784849166870117,0.17055848240852356
eval,7008,2006-10-20 00:00:00,6,6,168.67559814453125,6.897311210632324,0.09302085638046265
eval,7008,2006-10-20 00:00:00,7,7,365.77471923828125,10.008001327514648,0.19933496415615082
eval,7008,2006-10-20 00:00:00,8,8,200.48089599609375,7.257260322570801,0.09048507362604141
eval,7008,2006-10-20 00:00:00,9,9,494.2834777832031,10.065053939819336,0.2673448324203491
eval,7008,2006-10-20 00:00:00,10,10,428.536376953125,9.574527740478516,0.2374284863471985
eval,7008,2006-10-20 00:00:00,11,11,58.40327453613281,4.326033115386963,0.07922418415546417
eval,7008,2006-10-20 00:00:00,12,12,307.5067138671875,8.50963306427002,0.1356728971004486
eval,7008,2006-10-20 00:00:00,13,13,383.4477233886719,8.90554141998291,0.20002225041389465
eval,7008,2006-10-20 00:00:00,14,14,506.69610595703125,10.450369834899902,0.18102619051933289
eval,7008,2006-10-20 00:00:00,15,15,213.92039489746094,8.392650604248047,0.30476418137550354
eval,7008,2006-10-20 00:00:00,16,16,238.8267822265625,8.044530868530273,0.10961412638425827
eval,7008,2006-10-20 00:00:00,17,17,194.939453125,7.202583312988281,0.08957737684249878
eval,7008,2006-10-20 00:00:00,18,18,366.8290710449219,9.362321853637695,0.19297686219215393
eval,7008,2006-10-20 00:00:00,19,19,357.3669128417969,9.803153991699219,0.18666505813598633
eval,7008,2006-10-20 00:00:00,20,20,256.8111267089844,8.843968391418457,0.11974409967660904
eval,7008,2006-10-20 00:00:00,21,21,357.89276123046875,9.446053504943848,0.16071446239948273
eval,7008,2006-10-20 00:00:00,22,22,639.0931396484375,13.48561954498291,0.2508888244628906
eval,7008,2006-10-20 00:00:00,23,23,2756.41943359375,28.137638092041016,0.234575092792511
eval,7008,2006-10-20 00:00:00,24,24,272.1529541015625,8.207976341247559,0.1238308921456337
eval,7008,2006-10-20 00:00:00,25,25,320.7033996582031,8.040170669555664,0.2197330892086029
eval,7008,2006-10-20 00:00:00,26,26,355.6211853027344,9.332483291625977,0.18720532953739166
eval,7008,2006-10-20 00:00:00,27,27,379.97735595703125,10.762700080871582,0.16253051161766052
eval,7008,2006-10-20 00:00:00,28,28,1435.69384765625,21.47462272644043,0.12868690490722656
eval,7008,2006-10-20 00:00:00,29,29,432.08905029296875,9.815035820007324,0.22608590126037598
eval,7008,2006-10-20 00:00:00,30,30,271.6746826171875,8.219110488891602,0.18627850711345673
eval,7008,2006-10-20 00:00:00,31,31,1451.1790771484375,19.108530044555664,0.15485957264900208
eval,7008,2006-10-20 00:00:00,32,32,407.90704345703125,9.890174865722656,0.18438491225242615
eval,7008,2006-10-20 00:00:00,33,33,282.9237060546875,8.744035720825195,0.16216625273227692
