split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,bayes_context_scalar,1961675.125,158.26998901367188,0.16217683255672455,6.873804092407227
eval,bayes_context_horizon,1905888.0,158.59925842285156,0.1673232764005661,3.9185807704925537
eval,catboost_context_classifier_scalar,1934829.625,157.69175720214844,0.1620582789182663,6.941880702972412
eval,catboost_context_classifier_horizon,1936112.5,158.02915954589844,0.16249090433120728,6.693455219268799
eval,catboost_context_regressor_scalar,1973318.0,160.28961181640625,0.16911056637763977,2.8922719955444336
eval,catboost_context_regressor_horizon,1889567.0,158.90164184570312,0.16709323227405548,4.050678253173828
eval,oracle_context_scalar,1716971.0,148.7518310546875,0.14033566415309906,19.41557502746582
eval,oracle_context_horizon,1628081.0,137.1714630126953,0.12570364773273468,27.817665100097656
