split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,bayes_context_scalar,674.8486328125,11.33740520477295,0.24216671288013458,0.0
eval,bayes_context_horizon,655.2598876953125,11.20687198638916,0.23591428995132446,2.581867218017578
eval,catboost_context_classifier_scalar,672.7188110351562,11.314404487609863,0.24135278165340424,0.3361036777496338
eval,catboost_context_classifier_horizon,640.7836303710938,11.04931926727295,0.2307569980621338,4.711512088775635
eval,catboost_context_regressor_scalar,674.675048828125,11.338622093200684,0.24155591428279877,0.25222235918045044
eval,catboost_context_regressor_horizon,636.0659790039062,11.046016693115234,0.2276764214038849,5.983602046966553
eval,oracle_context_scalar,590.7711791992188,10.587814331054688,0.2114650309085846,12.677911758422852
eval,oracle_context_horizon,534.5714111328125,9.60640811920166,0.18947729468345642,21.757497787475586
