split,baseline,mse,mae,nmse,relative_nmse_improvement_pct
eval,gated_context_classifier_scalar,5350396.5,216.36749267578125,323648468549632.0,0.0
eval,gated_context_classifier_horizon,5300535.0,213.18231201171875,323648468549632.0,0.0
eval,gated_context_regressor_scalar,4832677.0,211.48521423339844,323648468549632.0,0.0
eval,gated_context_regressor_horizon,5020955.0,210.37286376953125,323648468549632.0,0.0
eval,oracle_context_scalar,4139074.25,193.84945678710938,323648468549632.0,0.0
eval,oracle_context_horizon,3780358.0,173.11126708984375,323648468549632.0,0.0
